Name  :  Frequency 
recieve  :  1
recieved  :  1
recognise  :  1
recognizes  :  1
recommend  :  14
recommendation  :  1
recommended  :  3
recommending  :  1
reconfiguration  :  1
reconsider  :  2
record  :  1
recorded  :  1
recording  :  4
records  :  3
reduce  :  1
refreshing  :  1
refund  :  1
refurbished  :  4
refused  :  2
refuses  :  1
regard  :  1
register  :  1
regret  :  10
regrets  :  1
regretting  :  1
regularly  :  1
reinsert  :  1
related  :  1
release  :  1
released  :  3
relieved  :  1
remaining  :  1
remember  :  1
remote  :  4
removable  :  5
remove  :  3
removed  :  1
rep  :  1
repair  :  4
repairing  :  1
replace  :  4
replaced  :  10
replacement  :  12
replacing  :  2
reported  :  2
representative  :  1
request  :  1
required  :  1
res  :  1
research  :  3
reset  :  14
resistance  :  1
resolution  :  23
resolutuion:  :  1
resolve  :  2
respond  :  3
responding  :  1
response  :  1
responsibility  :  1
responsive  :  5
rest  :  1
restart  :  6
restarting  :  2
restarts  :  1
restocking  :  1
restored  :  2
restresetting  :  1
result  :  1
results  :  2
retina  :  1
return  :  7
returned  :  7
returning  :  2
review  :  4
review:  :  1
reviewed  :  1
reviews  :  7
rich  :  2
rid  :  1
ridiculous  :  2
ridiculously  :  1
rift  :  1
right  :  21
ring  :  1
ringtones  :  1
rival  :  1
rivals  :  1
road  :  1
rock  :  1
rocker  :  1
rockers  :  1
rocks  :  1
rolling  :  1
rom  :  5
room  :  1
rooms  :  1
root  :  4
rooted  :  2
roughly  :  1
roughlyhrs  :  1
round  :  1
routines  :  2
rubberized  :  1
rubbish  :  1
rude  :  1
rug  :  1
run  :  8
runaround  :  1
running  :  10
runs  :  8
runtime  :  1
s  :  1
s3  :  7
s4  :  6
s5  :  25
s6  :  1
sad  :  1
safe  :  2
said  :  11
salesman  :  1
same  :  35
samsung  :  21
sanity  :  1
sar  :  1
satisfactory  :  3
satisfied  :  3
saturated  :  2
save  :  6
saver  :  3
saving  :  1
saw  :  2
saying  :  3
says  :  3
scanner  :  2
scared  :  1
scary  :  1
sceen  :  1
scorching  :  1
scrached  :  1
scratch  :  1
scratches  :  1
screen  :  165
screen--huge  :  1
screened  :  1
screens  :  5
screenshot  :  1
scren  :  1
sd  :  5
sealed  :  1
seams  :  1
search  :  1
searching  :  1
second  :  11
secondly  :  1
seconds  :  6
security  :  3
seeing  :  1
seem  :  4
seemed  :  2
seems  :  11
seen  :  5
seller  :  3
selling  :  2
send  :  7
sending  :  3
sends  :  1
sensation  :  1
sense  :  5
sensitive  :  1
sensitivity  :  1
sensor  :  2
sent  :  3
september  :  1
serious  :  4
seriously  :  1
server  :  1
service  :  13
serviceable  :  1
services  :  2
set  :  8
setting  :  6
settings  :  6
setup  :  2
several  :  7
severe  :  1
sexy  :  1
shadow  :  1
shake  :  1
shame  :  2
share  :  3
sharp  :  3
sharpness  :  1
shatterd  :  1
shattered  :  3
shell  :  1
ship  :  1
shipped  :  1
shipping  :  2
shit  :  2
shocked  :  2
shoot  :  2
shoots  :  1
shopping  :  1
short  :  4
shortcuts  :  2
shortly  :  1
shots  :  2
should  :  16
shouldnot  :  3
show  :  2
shows  :  1
shudder  :  1
shut  :  6
shutdown  :  4
shuts  :  2
shutting  :  2
sick  :  1
side  :  3
sides  :  1
signal  :  1
significant  :  1
silence  :  1
silly  :  2
sim  :  10
simg  :  1
similar  :  2
simple  :  3
simply  :  7
since  :  19
sincemonths  :  1
single  :  3
situation  :  1
six  :  4
size  :  20
sizegb  :  1
skeptical  :  1
skin  :  3
skinny  :  1
slanted  :  1
sleek  :  2
sleeker  :  1
sleep  :  2
slepthrs  :  1
slick  :  2
slide  :  1
slightly  :  6
slim  :  2
slippery  :  3
slot  :  1
slouch  :  1
slow  :  10
slowly  :  3
slows  :  1
sluggish  :  2
small  :  9
smaller  :  5
smart  :  5
smartphone  :  14
smartphones  :  1
smoke  :  1
smooooth  :  1
smooth  :  16
smoother  :  1
sms  :  2
snap  :  1
snapdragon  :  2
snappiness:  :  1
snappy  :  3
snuff  :  1
social  :  4
soft  :  2
softer  :  2
software  :  21
sold  :  3
solid  :  5
solitaire  :  1
solution  :  5
solutions  :  1
solve  :  2
solved  :  1
solves  :  1
somehow  :  1
someone  :  1
something  :  10
sometime  :  1
sometimes  :  16
sometimeshrs  :  1
sonis  :  1
sony  :  2
soo  :  2
soon  :  5
sort  :  1
sorted  :  1
sorts  :  1
sot  :  2
sound  :  19
sounding  :  1
sounds  :  3
space  :  7
spacebar  :  1
spacing  :  1
spare  :  2
sparked  :  1
spazes  :  1
speak  :  1
speaker  :  9
speakerphone  :  3
speakers  :  2
speaking  :  2
specially  :  2
specifically  :  1
specification  :  2
specs  :  10
spectacular  :  2
speculate  :  1
speed  :  8
speeds  :  1
speedy  :  1
spends  :  1
spent  :  1
spliced  :  1
sports  :  1
sportscenter  :  1
spot  :  2
sprint  :  13
sprints  :  1
spyware  :  1
st  :  1
stabilization  :  1
stable  :  2
stacks  :  1
staff  :  1
stamp  :  2
stanby  :  3
stand  :  5
stand-by  :  1
standard  :  6
standard:  :  2
standby  :  8
star  :  5
stares  :  1
stars  :  5
start  :  9
started  :  10
starting  :  2
starts  :  2
state  :  1
statements  :  1
static  :  1
stay  :  5
staying  :  1
steals  :  1
step  :  2
stereo  :  1
stick  :  1
still  :  28
stock  :  3
stop  :  4
stopped  :  7
storage  :  7
store  :  8
stores  :  3
straight  :  5
stream  :  1
streaming  :  2
stretch  :  1
strong  :  2
struggle  :  1
stubborn  :  1
stuck  :  3
stuff  :  4
stunning  :  2
stupid  :  2
stutter  :  1
stuttering  :  1
style  :  1
stylus  :  2
styluses  :  1
sub  :  1
sub-par  :  1
subjective  :  1
subsequently  :  2
such  :  9
suck  :  1
sucking  :  1
sucks  :  9
sudden  :  1
suddenly  :  1
suffered  :  1
sufficed  :  1
sufficiently  :  1
suggest  :  2
suggestions  :  1
suite  :  2
summary  :  1
summer  :  1
sun  :  1
sunlight  :  1
super  :  12
superb  :  11
superfast  :  1
superior  :  1
superphone  :  1
support  :  6
supported  :  1
supports  :  1
suppose  :  1
supposed  :  3
suprisingly  :  1
sure  :  12
surface  :  1
surfing  :  4
surpasses  :  1
surprise  :  2
surprised  :  3
sustain  :  1
swift  :  2
swipe  :  1
switch  :  1
switched  :  5
switches  :  1
switching  :  5
swith  :  1
sync  :  1
system  :  6
t  :  14
t-mobile  :  2
table  :  1
tag  :  1
tailored  :  1
taime  :  1
take  :  16
taken  :  2
taker  :  1
takes  :  11
taking  :  11
talk  :  1
talked  :  1
talking  :  7
tap  :  5
tape  :  1
tapping  :  1
task  :  2
tax  :  1
tech  :  1
technical  :  1
technology  :  1
tell  :  8
temperature  :  1
tempered  :  2
temporary  :  1
tend  :  2
tends  :  1
tents  :  1
terms  :  3
terrible  :  10
terrific  :  2
test  :  3
tested  :  2
text  :  5
texting  :  10
thank  :  3
thanks  :  4
thatis  :  3
thatp  :  1
thats  :  6
the  :  1
thebest'  :  2
theg  :  1
thegb  :  1
thegbg  :  1
thegbgb  :  1
thegere  :  1
thek  :  4
themes  :  1
themp  :  1
thep  :  1
therefore  :  1
thereis  :  3
theth  :  1
thin  :  3
thing  :  19
thingit  :  1
things  :  10
thinking  :  4
thinks  :  1
thisd  :  1
thorough  :  1
thoroughly  :  1
those  :  5
though  :  22
thought  :  6
thr  :  1
three  :  2
thrice  :  1
throttles  :  1
through  :  14
thru  :  2
thumb  :  1
thumbs  :  2
thus  :  1
tied  :  1
tight  :  1
tightly  :  2
til  :  2
till  :  2
tilt  :  1
time  :  62
times  :  22
timing  :  1
timming  :  1
tint  :  1
tiny  :  1
tips  :  1
today  :  8
todayis  :  1
tog  :  1
toggle  :  1
told  :  3
ton  :  1
tonight  :  1
tons  :  1
too  :  45
took  :  6
top  :  16
torch  :  1
tosuper  :  1
total  :  2
totally  :  1
touch  :  12
touched  :  1
touching  :  1
touchscreen  :  2
tough  :  1
towards  :  1
tracfone  :  2
tracking  :  1
trade  :  1
trains  :  1
transfer  :  3
transferred  :  1
transition  :  1
transmitter  :  1
trash  :  1
treat  :  2
tried  :  10
trouble  :  4
troubles  :  1
true  :  3
truly  :  1
try  :  13
trying  :  2
tugs  :  1
turbo  :  2
turn  :  23
turned  :  5
turning  :  6
turns  :  4
tv  :  2
tweaking  :  1
tweaks  :  1
twice  :  3
twitter  :  2
txting  :  1
tym  :  3
type  :  2
typing  :  2
u  :  23
uae  :  1
ugly  :  1
uhd  :  1
ui  :  12
ultra  :  1
um  :  3
unable  :  3
unboxed  :  1
uncheck  :  1
uncomfort  :  1
uncomfortably  :  1
under  :  10
underpowered  :  1
understand  :  2
underwater  :  1
unfortunately  :  1
unhappy  :  1
uninstall  :  1
uninstallable  :  1
unique  :  1
unit  :  5
universal  :  1
unless  :  7
unlike  :  2
unlock  :  6
unlocked  :  3
unlocking  :  1
unnecessary  :  1
unplug  :  1
unresponsive  :  1
unstable  :  2
unsuccessful  :  2
until  :  8
unto  :  1
unusable  :  1
unused  :  1
unwieldy  :  1
upar  :  1
update  :  20
updated  :  4
updatemb  :  1
updates  :  3
updating  :  2
upgrade  :  14
upgraded  :  3
upgrading  :  1
upset  :  1
upsetting  :  1
upside  :  1
uptadet  :  1
upto  :  3
ur  :  8
usable  :  1
usage  :  20
usages  :  1
usb  :  4
used  :  40
useful  :  3
useing  :  1
useless  :  2
user  :  11
users  :  4
uses  :  2
using  :  66
usinggb  :  1
usually  :  4
utilize  :  1
utilizing  :  1
v10  :  1
v20u  :  1
v5  :  1
valid  :  1
value  :  2
vanishing  :  1
variant  :  1
variants  :  1
vendor  :  2
verge  :  1
verizon  :  13
versa  :  1
version  :  15
versions  :  3
very  :  117
verzion  :  1
via  :  2
vibrant  :  4
vibrates  :  1
vibration  :  1
video  :  19
videos  :  7
view  :  1
viewer  :  1
viewing  :  3
violation  :  1
violet  :  1
virgin  :  1
vise  :  1
visited  :  1
visual  :  1
voice  :  2
voicemail  :  2
vol  :  1
volume  :  12
volumen  :  1
vr  :  3
w  :  2
wait  :  4
waited  :  1
waiting  :  5
wake  :  5
waking  :  1
wall  :  2
wallet  :  1
wallpapers  :  2
wanted  :  10
wanting  :  2
wants  :  3
ware  :  1
warehouse  :  2
warm  :  4
warn  :  1
warnings  :  1
warranty  :  5
warrenty  :  1
washed  :  2
wasnot  :  3
waste  :  4
wasted  :  1
watch  :  1
watched  :  1
watches  :  1
watching  :  5
water  :  2
waterproof  :  1
watsapp  :  2
ways  :  1
wb  :  1
weak  :  1
weather  :  1
web  :  4
website  :  1
week  :  15
weekend  :  1
weeks  :  4
weird  :  1
went  :  13
were  :  13
whatever  :  1
whatsapp  :  2
whatsoever  :  1
whenever  :  6
where  :  9
whereas  :  1
whether  :  3
while  :  24
white  :  2
whoever  :  1
whois  :  1
whole  :  6
why  :  10
wi-fi  :  6
wid  :  1
width  :  1
wife  :  6
wifi  :  9
wifig  :  1
wiggle  :  1
wiggled  :  1
wiiner  :  1
wil  :  1
willing  :  1
willy  :  1
win  :  1
window  :  3
windows  :  1
winner  :  2
wipe  :  2
wiped  :  1
wireless  :  9
wise  :  2
wish  :  4
withg  :  2
withgb  :  3
within  :  13
withk  :  1
without  :  21
woefully  :  1
won  :  2
wonder  :  2
wonderful  :  4
wondering  :  2
wonky  :  1
wont  :  4
words  :  5
worest  :  1
worked  :  6
workhorse  :  1
working  :  14
works  :  18
world  :  4
worried  :  3
worse  :  4
worst  :  16
worth  :  6
worthy  :  1
wouldhave  :  1
wouldnot  :  5
wow  :  3
write  :  1
wrong  :  7
wtf  :  1
wwe  :  1
x  :  8
x1000  :  1
x2560  :  1
xnd  :  1
xperia  :  1
ya  :  1
yeah  :  1
yeahh  :  1
years  :  7
yellow  :  1
yes  :  10
yesterday  :  4
yet  :  4
youare  :  2
youhave  :  1
yourself  :  1
youtube  :  3
youwill  :  3
youwould  :  1
z3  :  4
zero  :  3
zoom  :  1
